iter	Passed	Remaining
0	10	10510
1	19	9809
2	26	8719
3	32	8110
4	38	7710
5	43	7286
6	52	7422
7	59	7402
8	64	7116
9	70	7000
10	75	6781
11	79	6575
12	84	6423
13	89	6290
14	93	6161
15	98	6053
16	103	5990
17	107	5891
18	113	5835
19	118	5791
20	122	5727
21	127	5657
22	132	5629
23	138	5636
24	141	5537
25	145	5456
26	149	5405
27	154	5364
28	158	5314
29	163	5273
30	167	5225
31	171	5179
32	176	5160
33	180	5136
34	184	5098
35	190	5107
36	195	5075
37	199	5062
38	204	5034
39	209	5018
40	215	5038
41	220	5018
42	223	4972
43	227	4947
44	231	4922
45	236	4905
46	241	4904
47	247	4899
48	254	4931
49	259	4934
50	265	4945
51	272	4966
52	277	4956
53	282	4947
54	286	4926
55	291	4910
56	295	4885
57	299	4864
58	304	4859
59	309	4843
60	313	4830
61	318	4822
62	325	4839
63	329	4825
64	335	4828
65	340	4825
66	345	4808
67	349	4793
68	354	4784
69	359	4771
70	364	4766
71	368	4747
72	372	4732
73	377	4729
74	382	4719
75	387	4711
76	392	4704
77	399	4723
78	404	4721
79	411	4732
80	417	4736
81	421	4723
82	426	4711
83	430	4698
84	435	4687
85	439	4674
86	445	4672
87	449	4659
88	454	4647
89	458	4633
90	464	4637
91	468	4626
92	474	4623
93	479	4618
94	484	4612
95	487	4592
96	493	4590
97	498	4585
98	503	4580
99	508	4573
100	513	4570
101	519	4575
102	523	4554
103	528	4553
104	531	4530
105	536	4521
106	541	4516
107	545	4503
108	549	4495
109	554	4486
110	558	4474
111	563	4465
112	568	4460
113	573	4455
114	579	4455
115	583	4448
116	590	4452
117	594	4445
118	599	4438
119	604	4434
120	609	4430
121	614	4420
122	618	4411
123	623	4404
124	628	4399
125	632	4389
126	638	4389
127	644	4387
128	648	4380
129	653	4371
130	656	4352
131	660	4343
132	665	4340
133	671	4337
134	673	4317
135	678	4310
136	683	4303
137	689	4304
138	694	4299
139	699	4296
140	704	4294
141	710	4290
142	714	4284
143	718	4270
144	722	4262
145	727	4253
146	731	4245
147	736	4238
148	740	4230
149	745	4226
150	751	4224
151	756	4222
152	762	4220
153	767	4216
154	772	4209
155	776	4200
156	780	4192
157	784	4179
158	789	4175
159	794	4172
160	799	4167
161	805	4165
162	809	4157
163	814	4153
164	820	4151
165	824	4143
166	829	4137
167	834	4132
168	839	4126
169	843	4117
170	848	4114
171	853	4107
172	857	4099
173	862	4094
174	867	4088
175	871	4080
176	876	4073
177	880	4065
178	884	4058
179	889	4052
180	894	4046
181	898	4038
182	903	4033
183	908	4026
184	912	4020
185	918	4019
186	924	4020
187	927	4007
188	934	4009
189	939	4005
190	943	3998
191	950	4001
192	955	3995
193	959	3988
194	966	3989
195	970	3981
196	975	3977
197	982	3981
198	985	3967
199	989	3958
200	995	3958
201	1002	3960
202	1004	3945
203	1008	3936
204	1014	3934
205	1019	3929
206	1023	3920
207	1029	3919
208	1033	3911
209	1038	3904
210	1042	3899
211	1048	3896
212	1052	3888
213	1057	3883
214	1063	3883
215	1068	3876
216	1072	3868
217	1078	3868
218	1082	3861
219	1087	3856
220	1092	3850
221	1098	3849
222	1102	3841
223	1108	3839
224	1112	3833
225	1117	3826
226	1121	3817
227	1126	3815
228	1131	3809
229	1136	3804
230	1141	3800
231	1147	3798
232	1150	3786
233	1154	3779
234	1160	3776
235	1164	3771
236	1169	3764
237	1174	3761
238	1180	3757
239	1184	3750
240	1189	3745
241	1194	3742
242	1199	3737
243	1204	3732
244	1211	3734
245	1216	3728
246	1219	3718
247	1225	3717
248	1231	3715
249	1236	3709
250	1242	3706
251	1247	3701
252	1251	3695
253	1257	3692
254	1261	3686
255	1264	3676
256	1270	3672
257	1276	3672
258	1280	3664
259	1286	3661
260	1292	3658
261	1297	3654
262	1302	3650
263	1308	3646
264	1312	3640
265	1317	3635
266	1322	3630
267	1326	3623
268	1331	3617
269	1335	3609
270	1339	3603
271	1343	3596
272	1348	3590
273	1352	3583
274	1356	3576
275	1360	3569
276	1365	3563
277	1369	3555
278	1373	3549
279	1379	3546
280	1382	3537
281	1387	3532
282	1391	3525
283	1395	3518
284	1399	3511
285	1403	3504
286	1408	3498
287	1412	3492
288	1417	3486
289	1421	3479
290	1425	3474
291	1430	3467
292	1434	3460
293	1439	3455
294	1443	3449
295	1448	3444
296	1452	3439
297	1457	3432
298	1462	3429
299	1467	3423
300	1471	3416
301	1476	3411
302	1480	3405
303	1484	3399
304	1488	3392
305	1492	3385
306	1497	3379
307	1501	3373
308	1505	3367
309	1510	3361
310	1514	3356
311	1519	3349
312	1523	3343
313	1527	3337
314	1531	3331
315	1536	3326
316	1541	3320
317	1545	3314
318	1549	3308
319	1554	3302
320	1557	3294
321	1561	3288
322	1565	3281
323	1569	3275
324	1574	3270
325	1579	3264
326	1583	3258
327	1587	3252
328	1591	3246
329	1596	3242
330	1601	3235
331	1603	3226
332	1607	3220
333	1611	3214
334	1616	3208
335	1620	3201
336	1624	3195
337	1628	3189
338	1632	3182
339	1636	3177
340	1641	3172
341	1644	3164
342	1648	3157
343	1653	3152
344	1657	3146
345	1661	3141
346	1666	3135
347	1671	3131
348	1676	3126
349	1680	3120
350	1685	3115
351	1689	3110
352	1694	3106
353	1700	3103
354	1705	3099
355	1710	3093
356	1714	3088
357	1719	3082
358	1722	3075
359	1726	3068
360	1730	3063
361	1735	3058
362	1739	3053
363	1743	3047
364	1748	3041
365	1750	3032
366	1754	3026
367	1759	3021
368	1763	3016
369	1768	3012
370	1773	3007
371	1778	3002
372	1783	2997
373	1787	2992
374	1791	2986
375	1796	2980
376	1800	2975
377	1805	2970
378	1809	2964
379	1813	2958
380	1817	2952
381	1821	2947
382	1825	2941
383	1829	2935
384	1834	2929
385	1838	2925
386	1843	2919
387	1848	2914
388	1852	2909
389	1858	2906
390	1863	2902
391	1867	2896
392	1873	2894
393	1878	2889
394	1883	2884
395	1888	2881
396	1894	2878
397	1899	2872
398	1904	2868
399	1910	2865
400	1915	2861
401	1921	2858
402	1925	2852
403	1931	2849
404	1937	2845
405	1943	2842
406	1946	2836
407	1952	2833
408	1957	2829
409	1962	2824
410	1968	2821
411	1975	2818
412	1979	2813
413	1984	2808
414	1989	2803
415	1994	2799
416	1998	2793
417	2003	2789
418	2008	2785
419	2013	2780
420	2019	2776
421	2023	2771
422	2027	2766
423	2033	2762
424	2038	2757
425	2043	2752
426	2046	2746
427	2052	2742
428	2056	2737
429	2060	2731
430	2067	2729
431	2072	2725
432	2076	2719
433	2081	2715
434	2087	2711
435	2091	2705
436	2096	2700
437	2102	2698
438	2107	2692
439	2111	2687
440	2118	2685
441	2124	2681
442	2128	2676
443	2135	2673
444	2140	2669
445	2146	2665
446	2150	2661
447	2156	2657
448	2162	2653
449	2168	2650
450	2173	2646
451	2180	2643
452	2185	2639
453	2190	2634
454	2195	2629
455	2200	2625
456	2205	2620
457	2210	2616
458	2216	2612
459	2220	2607
460	2225	2601
461	2232	2599
462	2238	2595
463	2242	2590
464	2248	2586
465	2253	2582
466	2258	2577
467	2265	2574
468	2270	2570
469	2274	2565
470	2279	2560
471	2286	2557
472	2291	2552
473	2296	2548
474	2302	2544
475	2306	2539
476	2311	2534
477	2316	2529
478	2320	2524
479	2325	2519
480	2329	2513
481	2334	2509
482	2338	2503
483	2342	2497
484	2347	2492
485	2351	2487
486	2356	2481
487	2360	2476
488	2365	2471
489	2370	2466
490	2374	2461
491	2378	2456
492	2382	2449
493	2386	2444
494	2391	2439
495	2395	2434
496	2398	2427
497	2402	2422
498	2407	2417
