iter	RMSE
0	56.25533323
1	46.37960369
2	39.94721441
3	34.54176804
4	30.60019914
5	26.83024335
6	23.86803248
7	21.21209348
8	19.28744331
9	17.50960424
10	15.98639774
11	14.6150017
12	13.48193811
13	12.68588053
14	11.83210284
15	11.10425871
16	10.54044789
17	9.854095606
18	9.369025011
19	8.911596005
20	8.613481593
21	8.256679102
22	8.03184886
23	7.747246602
24	7.51803076
25	7.303987617
26	7.134209515
27	6.989326431
28	6.847668819
29	6.709685441
30	6.583676321
31	6.290264675
32	6.193472021
33	6.091595127
34	5.899556731
35	5.845280349
36	5.769246557
37	5.652433269
38	5.463768869
39	5.366294933
40	5.215227809
41	5.113898834
42	5.072275468
43	4.985554037
44	4.960904512
45	4.837393979
46	4.752649742
47	4.673311156
48	4.647419133
49	4.529049818
50	4.471366835
51	4.394324159
52	4.342414593
53	4.272175479
54	4.246546529
55	4.175764378
56	4.118172028
57	4.100493946
58	4.065892973
59	4.029043127
60	4.004991185
61	3.937964572
62	3.916757666
63	3.854394718
64	3.807270729
65	3.756395854
66	3.679361349
67	3.669407629
68	3.654162889
69	3.588358895
70	3.540228068
71	3.485512565
72	3.426681024
73	3.41250621
74	3.359201002
75	3.335326827
76	3.297026891
77	3.265729046
78	3.259453047
79	3.218117768
80	3.185794034
81	3.13360963
82	3.102879866
83	3.071802236
84	3.026155163
85	2.985021891
86	2.950237434
87	2.930896467
88	2.887926043
89	2.840405901
90	2.800208546
91	2.776158918
92	2.752224922
93	2.729560374
94	2.707111635
95	2.680721567
96	2.649175055
97	2.623212266
98	2.589371464
99	2.54726731
