iter	Passed	Remaining
0	1	174
1	3	168
2	4	152
3	6	145
4	7	142
5	8	137
6	9	131
7	11	127
8	12	123
9	13	121
10	14	118
11	15	115
12	16	113
13	18	111
14	19	108
15	20	107
16	21	105
17	22	104
18	24	103
19	25	102
20	27	102
21	28	100
22	29	99
23	30	97
24	31	95
25	33	93
26	34	92
27	35	90
28	36	89
29	37	88
30	39	86
31	40	85
32	41	83
33	42	82
34	43	81
35	44	79
36	46	78
37	47	77
38	49	76
39	50	75
40	51	74
41	53	74
42	55	73
43	57	72
44	58	71
45	59	70
46	60	68
47	61	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	70	57
55	71	56
56	72	55
57	74	53
58	75	52
59	77	51
60	78	50
61	80	49
62	82	48
63	83	47
64	86	46
65	88	45
66	89	44
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	97	35
73	98	34
74	100	33
75	101	31
76	102	30
77	103	29
78	104	27
79	106	26
80	107	25
81	108	23
82	109	22
83	110	20
84	111	19
85	112	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
